,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110
0,0.849129,0.862604,1.005122,1.640097,1.09086,0.717632,0.508369,0.830933,0.25541,0.517836,0.388565,1.165893,0.455464,0.263329,0.370359,0.508526,0.641229,0.761727,0.760296,0.572014,0.740006,0.795672,0.62194,0.510309,0.685296,0.454759,0.784089,1.115934,0.57952,0.486073,0.423772,0.744273,0.718721,0.377329,0.563445,0.395371,0.781645,1.084488,0.514733,0.557144,0.586523,0.862574,0.592426,0.377037,0.587796,0.474779,1.136018,0.688085,0.539571,0.420197,0.798318,0.405778,0.446587,1.151914,0.980793,0.8742,0.683443,0.242248,0.292792,0.215815,0.310019,0.500781,0.509617,0.812306,1.462407,0.672979,1.189325,0.66453,0.436211,0.346528,0.314829,0.459972,0.421659,1.311365,0.574809,0.427722,0.371061,0.640818,0.827582,1.049717,1.056909,1.025939,1.256043,2.705429,2.308861,1.630962,1.230375,0.409222,0.383737,0.115373,0.228518,0.20623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.849085,0.862604,1.005122,1.640097,1.09086,0.526333,0.508369,0.830933,0.25541,0.517836,0.388565,1.165893,0.455464,0.263329,0.370359,0.508526,0.641229,0.641798,0.867512,0.9934,1.046837,0.756621,0.975347,1.048376,0.800575,0.673129,0.908266,0.608069,1.055379,1.486505,0.791061,0.659797,0.562958,0.980658,0.513811,0.485458,0.247466,0.96783,0.498953,0.750509,0.524219,0.781865,1.084796,0.514865,0.55732,0.586699,0.862838,0.592602,0.377125,0.775881,0.519759,0.769297,0.635532,1.519063,0.901327,0.745536,0.563547,1.072923,0.537057,0.594694,1.588141,1.321746,1.180621,0.924797,0.313158,0.378328,0.277563,0.384146,0.648021,0.667295,1.077642,1.939585,0.924828,1.604504,0.871675,0.56843,0.460104,0.421791,1.311717,0.574985,0.427854,0.371149,0.640994,0.827846,1.050025,1.057217,1.026247,1.256395,2.706221,2.309521,1.631446,1.230727,0.409354,0.383825,0.115373,0.228562,0.206274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.849129,0.862604,1.005122,1.640097,1.091168,0.526509,0.675958,0.717852,0.831197,0.255454,0.517968,0.388653,1.166201,0.455596,0.263417,0.370447,0.465428,0.6645,0.969426,0.315723,0.457076,0.474191,0.544735,1.523278,1.574748,0.756841,0.740226,0.795936,0.622116,0.510441,0.685516,0.454891,0.784309,1.116242,1.527771,2.141423,1.254563,0.993415,0.870247,1.391344,1.442483,0.739552,1.251236,0.820219,1.716818,2.229485,1.452792,0.67435,0.730222,1.153166,1.191903,1.660114,0.775661,0.519627,0.769077,0.635356,1.518623,0.901063,0.745316,0.563371,1.71423,0.840618,1.559949,0.836479,0.892239,2.249538,1.491117,1.806164,1.669786,0.562043,0.568862,0.436952,0.774351,0.90371,0.995492,1.452508,2.47865,1.511286,2.123994,1.313709,0.89075,0.646984,0.702093,2.368206,0.930923,0.715929,0.525616,1.016679,1.303766,1.732443,1.69805,1.664245,1.554012,1.629256,1.609067,1.921163,1.453977,1.052519,0.804086,0.383825,0.115373,0.228562,0.206274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.849129,0.862604,1.005122,1.640097,1.091168,0.526509,0.508501,0.831197,0.255454,0.517968,0.388653,1.166201,0.455596,0.263417,0.370447,0.508526,0.641229,0.761727,0.760296,0.572014,0.740006,0.756621,0.975347,1.048376,0.800575,0.673129,0.908266,0.608069,1.055379,1.486505,0.791061,0.659797,0.562958,0.980658,0.967522,0.498821,0.750289,0.524087,1.085788,1.452792,0.67435,0.730222,1.00901,1.153474,1.191947,1.660202,1.103828,0.877742,1.108116,0.6555,2.230373,1.174395,1.714318,0.840662,1.559993,0.836523,0.892283,2.249626,1.491161,1.806252,1.669874,0.434315,0.133777,0.196673,0.144482,0.196898,0.358998,1.077642,1.939585,0.874244,0.242248,0.29288,0.215859,0.310107,0.500913,0.509749,0.673199,1.189677,0.66475,0.436343,1.314105,0.891014,0.64716,0.702313,2.368734,1.311717,0.574985,0.931231,0.716149,0.525792,0.640994,0.827846,1.050025,1.057217,1.026247,1.256395,2.706221,2.309521,1.609067,1.690838,1.197276,1.921163,1.453977,1.052519,0.409354,0.383825,0.115373,0.228562,0.0,0.0,0.0
4,0.849085,0.862604,1.005122,1.640097,1.09086,0.717632,0.675738,1.092018,0.311622,0.668657,0.494483,1.569659,1.166201,0.455596,2.368406,0.145969,0.370447,0.315723,0.457076,0.474191,0.544735,0.36987,0.503889,0.509666,0.394307,1.048684,0.800839,0.673349,0.90853,0.608245,1.055687,1.486945,0.791325,0.660017,0.563134,0.980966,0.96783,0.498953,0.750509,0.524219,1.085788,1.452792,0.67435,0.730222,0.786614,1.129041,0.775881,0.519759,0.769297,0.635532,1.519063,0.901327,0.745536,0.563547,1.072923,0.537057,0.594694,1.588141,1.321746,1.180577,0.924489,0.31307,0.37824,0.277475,0.384058,0.647845,0.667075,1.077334,1.939013,0.92452,1.60402,0.871411,0.568254,0.459972,0.421659,1.311365,0.574809,0.427722,0.371061,0.640818,0.827582,1.049717,1.056909,1.025939,1.256043,2.705429,2.308861,1.630962,1.230375,0.409222,0.383737,0.115373,0.228518,0.20623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.849085,0.862604,1.005122,1.640097,1.09086,0.717632,0.675738,1.092018,0.311622,0.668657,0.494483,1.569659,0.604772,0.335227,0.475525,0.641798,0.867512,0.9934,1.046837,0.756621,0.975347,1.048376,0.800575,0.673129,0.908266,0.608069,1.055379,1.486505,0.742655,0.389917,0.791325,0.660017,0.563134,0.980966,0.718941,0.377417,0.563621,0.395503,0.781865,1.084796,0.514865,0.55732,0.67435,0.730222,0.786614,1.129041,0.775881,0.519759,0.769297,0.635532,1.519063,0.901327,0.745536,0.563547,1.072923,0.537057,0.594694,1.588053,1.32135,1.180313,0.924489,0.31307,0.37824,0.277475,0.384058,0.647845,0.667075,1.077334,1.939013,0.92452,1.60402,0.871411,0.568254,0.459972,0.421659,1.311365,0.574809,0.427722,0.371061,0.640818,0.827582,1.049717,1.056909,1.025939,1.256043,2.705429,2.308861,1.630962,1.230375,0.409222,0.383737,0.115373,0.228518,0.20623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.849129,0.862824,1.005122,1.640097,1.090816,0.526333,0.508369,0.830933,0.25541,0.517836,0.388565,1.165849,0.455464,0.263329,0.370359,0.508526,0.641229,0.761727,0.760296,0.572014,0.740006,0.795672,0.62194,0.510309,0.685296,0.454759,0.784089,1.11589,0.57952,0.486073,0.423772,0.744273,0.718721,0.377329,0.563445,0.395371,0.781645,1.084444,0.514733,0.557144,0.586523,0.862574,0.786394,1.128689,0.775661,0.519627,0.769077,0.635356,1.518579,0.901063,0.745316,0.563371,1.072571,0.536881,0.594518,1.587613,1.321306,1.180313,0.924489,0.31307,0.37824,0.277475,0.384058,0.647845,0.667075,1.07729,1.938969,0.92452,1.603976,0.871411,1.313665,0.89075,0.646984,0.702093,2.368118,1.311717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.849085,0.862604,1.005122,1.640097,1.090816,0.526333,0.508369,0.830933,0.25541,0.517836,0.388565,1.165849,0.455464,0.263329,0.370359,0.508526,0.641229,0.761727,0.760296,0.9934,1.046837,0.756621,0.975347,1.048376,0.800575,0.673129,0.908266,0.608069,1.055335,1.486461,0.791061,0.659797,0.562958,0.980658,0.967522,0.498821,0.750289,0.524087,1.085436,1.452308,0.67413,0.730002,0.786394,1.128689,0.775661,0.519627,0.769077,0.635356,1.518579,0.901063,0.745316,0.563371,1.072571,0.536881,0.594518,0.836479,0.892239,2.24945,1.491073,1.80612,1.669742,0.562043,0.568862,0.436952,0.774351,0.90371,0.995492,1.452464,2.478562,1.511242,2.123906,1.604504,0.871675,1.313753,0.890794,0.647028,0.702137,1.311409,0.574853,0.427722,0.371061,0.640862,0.827626,1.049761,1.056953,1.732003,1.697654,1.663849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.849041,0.862604,1.005122,1.640053,1.090816,0.717632,0.675738,1.091974,0.311622,0.668657,0.494483,1.569615,0.604772,0.335227,0.475525,0.508526,0.641229,0.761727,0.760296,0.572014,0.740006,0.795672,0.62194,1.048376,0.800575,0.673129,0.908266,0.608069,1.055335,1.486461,0.791061,0.659797,0.562958,0.980658,0.967522,0.498821,0.750289,0.524087,1.085436,1.452308,0.67413,0.730002,0.786394,1.128689,0.775661,0.519627,0.769077,0.635356,1.518579,0.901063,0.745316,0.563371,1.072571,0.536881,0.594518,1.587613,1.321306,0.63903,0.585762,1.180621,0.924797,0.313158,0.378328,0.215859,0.310107,0.500913,0.509749,0.81257,1.462759,0.672979,1.189325,0.92452,1.60402,0.871411,0.568254,0.459972,0.421659,1.311365,0.574809,0.427722,0.371061,0.640818,0.827582,1.049717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.849041,0.862604,1.005122,1.640053,1.090816,0.526333,0.508369,0.830933,0.25541,0.517836,0.388565,1.165849,0.455464,0.263329,0.370359,0.508526,0.641229,0.761727,0.760296,0.9934,1.046837,0.756621,0.975347,1.048376,0.800575,0.673129,0.908266,0.608069,1.055335,1.486461,0.791061,0.659797,0.562958,0.980658,0.967522,0.498821,0.750289,0.524087,1.085436,1.452308,0.67413,0.730002,0.786394,1.128689,0.775661,0.519627,0.769077,0.635356,1.518579,0.901063,0.745316,0.563371,1.072571,0.536881,0.594518,1.587613,1.321306,1.180313,0.924489,0.31307,0.37824,0.277475,0.384058,0.647845,0.667075,1.07729,1.938969,0.92452,1.603976,0.871411,0.568254,0.459972,0.421659,1.311365,0.574809,0.427722,0.371061,0.640818,0.827582,1.049673,1.056865,1.025939,1.255999,2.705385,2.308817,1.690838,1.197276,1.631446,1.230727,0.409354,0.383825,0.092221,0.181761,0.166343,0.301604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
